venue,batting_team,bowling_team,innings,score
Wankhede Stadium,Chennai Super Kings,Mumbai Indians,2,42
Wankhede Stadium,Mumbai Indians,Chennai Super Kings,1,39
Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,Kings XI Punjab,1,45
Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Delhi Daredevils,2,73
Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,2,67
Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,1,52
Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,1,48
Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rajasthan Royals,2,53
MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,2,75
MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,1,64
Sawai Mansingh Stadium,Delhi Daredevils,Rajasthan Royals,2,60
Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,1,51
Rajiv Gandhi International Stadium,Mumbai Indians,Sunrisers Hyderabad,1,54
Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Mumbai Indians,2,56
M.Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,1,50
M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,2,41
Wankhede Stadium,Delhi Daredevils,Mumbai Indians,2,53
Wankhede Stadium,Mumbai Indians,Delhi Daredevils,1,84
Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,1,49
Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,2,46
M.Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,1,51
M.Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,2,62
Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,Kings XI Punjab,2,53
Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Chennai Super Kings,1,75
Eden Gardens,Delhi Daredevils,Kolkata Knight Riders,2,56
Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,1,50
Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,1,60
Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,2,55
Sawai Mansingh Stadium,Kolkata Knight Riders,Rajasthan Royals,2,53
Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,1,48
Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Sunrisers Hyderabad,1,49
Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,Kings XI Punjab,2,40
Maharashtra Cricket Association Stadium,Chennai Super Kings,Rajasthan Royals,1,69
Maharashtra Cricket Association Stadium,Rajasthan Royals,Chennai Super Kings,2,35
Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,2,73
Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,1,49
M.Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,1,28
M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,2,43
Rajiv Gandhi International Stadium,Chennai Super Kings,Sunrisers Hyderabad,1,27
Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Chennai Super Kings,2,40
Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,1,43
Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,2,43
Arun Jaitley Stadium,Delhi Daredevils,Kings XI Punjab,2,48
Arun Jaitley Stadium,Kings XI Punjab,Delhi Daredevils,1,51
Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,2,22
Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,1,51
M.Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,2,55
M.Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,1,52
Rajiv Gandhi International Stadium,Kings XI Punjab,Sunrisers Hyderabad,2,44
Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Kings XI Punjab,1,37
Arun Jaitley Stadium,Delhi Daredevils,Kolkata Knight Riders,1,57
Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Daredevils,2,51
Maharashtra Cricket Association Stadium,Chennai Super Kings,Mumbai Indians,1,51
Maharashtra Cricket Association Stadium,Mumbai Indians,Chennai Super Kings,2,50
Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,2,43
Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,1,39
M.Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,2,51
M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,1,40
Maharashtra Cricket Association Stadium,Chennai Super Kings,Delhi Daredevils,1,56
Maharashtra Cricket Association Stadium,Delhi Daredevils,Chennai Super Kings,2,59
M.Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,2,40
M.Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,1,43
Arun Jaitley Stadium,Delhi Daredevils,Rajasthan Royals,1,62
Arun Jaitley Stadium,Rajasthan Royals,Delhi Daredevils,2,79
Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,1,57
Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,2,56
Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,1,49
Holkar Cricket Stadium,Mumbai Indians,Kings XI Punjab,2,39
Maharashtra Cricket Association Stadium,Chennai Super Kings,Royal Challengers Bangalore,2,42
Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Chennai Super Kings,1,47
Rajiv Gandhi International Stadium,Delhi Daredevils,Sunrisers Hyderabad,1,60
Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Delhi Daredevils,2,55
Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,2,47
Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,1,56
Holkar Cricket Stadium,Kings XI Punjab,Rajasthan Royals,2,34
Holkar Cricket Stadium,Rajasthan Royals,Kings XI Punjab,1,45
Rajiv Gandhi International Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,2,55
Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,1,38
Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,2,33
Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,1,63
Eden Gardens,Kolkata Knight Riders,Mumbai Indians,2,47
Eden Gardens,Mumbai Indians,Kolkata Knight Riders,1,47
Arun Jaitley Stadium,Delhi Daredevils,Sunrisers Hyderabad,1,38
Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Daredevils,2,51
Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,1,55
Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,2,57
Holkar Cricket Stadium,Kings XI Punjab,Kolkata Knight Riders,2,58
Holkar Cricket Stadium,Kolkata Knight Riders,Kings XI Punjab,1,59
Arun Jaitley Stadium,Delhi Daredevils,Royal Challengers Bangalore,1,44
Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Daredevils,2,58
Maharashtra Cricket Association Stadium,Chennai Super Kings,Sunrisers Hyderabad,2,53
Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,Chennai Super Kings,1,28
Wankhede Stadium,Mumbai Indians,Rajasthan Royals,1,51
Wankhede Stadium,Rajasthan Royals,Mumbai Indians,2,51
Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,1,47
Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,2,66
Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,2,50
Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,1,68
Wankhede Stadium,Kings XI Punjab,Mumbai Indians,2,57
Wankhede Stadium,Mumbai Indians,Kings XI Punjab,1,60
M.Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,1,44
M.Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,2,56
Arun Jaitley Stadium,Chennai Super Kings,Delhi Daredevils,2,44
Arun Jaitley Stadium,Delhi Daredevils,Chennai Super Kings,1,39
Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,1,45
Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,2,55
Rajiv Gandhi International Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,2,66
Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,1,59
Arun Jaitley Stadium,Delhi Daredevils,Mumbai Indians,1,46
Arun Jaitley Stadium,Mumbai Indians,Delhi Daredevils,2,55
Maharashtra Cricket Association Stadium,Chennai Super Kings,Kings XI Punjab,2,33
Maharashtra Cricket Association Stadium,Kings XI Punjab,Chennai Super Kings,1,29
Wankhede Stadium,Chennai Super Kings,Sunrisers Hyderabad,2,33
Wankhede Stadium,Sunrisers Hyderabad,Chennai Super Kings,1,47
Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,1,46
Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,2,51
Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,2,67
Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,1,45
Wankhede Stadium,Chennai Super Kings,Sunrisers Hyderabad,2,34
Wankhede Stadium,Sunrisers Hyderabad,Chennai Super Kings,1,41
MA Chidambaram Stadium,Chennai Super Kings,Royal Challengers Bangalore,2,16
MA Chidambaram Stadium,Royal Challengers Bangalore,Chennai Super Kings,1,33
Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,2,47
Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,1,54
Wankhede Stadium,Delhi Capitals,Mumbai Indians,1,45
Wankhede Stadium,Mumbai Indians,Delhi Capitals,2,46
Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,1,32
Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,2,64
Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,2,58
Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,1,43
Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,2,51
Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,1,53
M.Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,1,52
M.Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,2,60
Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,1,35
Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rajasthan Royals,2,69
Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Mumbai Indians,2,38
Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,Kings XI Punjab,1,62
Arun Jaitley Stadium,Delhi Capitals,Kolkata Knight Riders,2,55
